,a,b
0,,
1,,
2,"TABLAS DE CORRELACIÓN 
TIGIE FRACCIONES ARANCELARIAS",
3,TIGIE 2022 (SA 2022),TIGIE 2020 (SA 2017)
1833,2917.37.01,2917.37.01
1834,2917.39.01,2917.39.01
1835,2917.39.02,2917.39.02
1836,2917.39.03,2917.39.03
1837,2917.39.04,2917.39.04
1838,2917.39.05,2917.39.05
1839,2917.39.06,2917.39.06
1840,2917.39.99,2917.39.99
1841,2918.11.01,2918.11.01
1842,2918.12.01,2918.12.01
1843,2918.13.05,2918.13.05
1844,2918.14.01,2918.14.01
1845,2918.15.01,2918.15.01
1846,2918.15.02,2918.15.02
1847,2918.15.05,2918.15.05
1848,2918.15.99,2918.15.99
1849,2918.16.03,2918.16.03
1850,2918.17.01,2918.17.01
1851,2918.18.01,2918.18.01
1852,2918.19.06,2918.19.06
1853,2918.19.99,2918.19.99
1854,2918.21.02,2918.21.02
1855,2918.21.99,2918.21.99
1856,2918.22.02,2918.22.02
1857,2918.23.91,2918.23.04
1858,2918.29.01,2918.29.01
1859,2918.29.04,2918.29.04
1860,2918.29.99,2918.29.99
1861,2918.30.10,2918.30.10
1862,2918.91.01,2918.91.01
1863,2918.99.01,2918.99.01
1864,2918.99.02,2918.99.02
1865,2918.99.04,2918.99.04
1866,2918.99.99,2918.99.99
1867,2919.10.01,2919.10.01
1868,2919.90.10,2919.90.10
1869,2919.90.99,2919.90.99
1870,2920.11.01,2920.11.01
1871,2920.11.03,2920.11.03
1872,2920.19.99,2920.19.99
1873,2920.21.01,2920.21.01
1874,2920.22.01,2920.22.01
1875,2920.23.01,2920.23.01
1876,2920.24.01,2920.24.01
1877,2920.29.01,2920.29.01
1878,2920.29.99,2920.29.99
1879,2920.30.01,2920.30.01
1880,2920.90.09,2920.90.09
1881,2920.90.99,2920.90.99
1882,2921.11.05,2921.11.05
1883,2921.11.99,2921.11.99
1884,2921.12.01,2921.12.01
1885,2921.13.01,2921.13.01
1886,2921.14.01,2921.14.01
1887,2921.19.02,2921.19.02
1888,2921.19.04,2921.19.04
1889,2921.19.05,2921.19.05
1890,2921.19.11,2921.19.11
1891,2921.19.12,2921.19.12
1892,2921.19.99,2921.19.99
1893,2921.21.02,2921.21.02
1894,2921.22.01,2921.22.01
1895,2921.29.10,2921.29.10
1896,2921.29.99,2921.29.99
1897,2921.30.02,2921.30.02
1898,2921.30.99,2921.30.99
1899,2921.41.01,2921.41.01
1900,2921.42.14,2921.42.14
1901,2921.42.17,2921.42.17
1902,2921.42.99,2921.42.99
1903,2921.43.13,2921.43.13
1904,2921.44.02,2921.44.02
1905,2921.45.08,2921.45.08
1906,2921.45.99,2921.45.99
1907,2921.46.01,2921.46.01
1908,2921.49.14,2921.49.14
1909,2921.49.99,2921.49.99
1910,2921.51.01,2921.51.01
1911,2921.51.02,2921.51.02
1912,2921.51.03,2921.51.03
1913,2921.51.04,2921.51.04
1914,2921.51.05,2921.51.05
1915,2921.51.06,2921.51.06
1916,2921.51.07,2921.51.07
1917,2921.51.08,2921.51.08
1918,2921.51.09,2921.51.09
1919,2921.51.99,2921.51.99
1920,2921.59.99,2921.59.99
1921,2922.11.01,2922.11.01
1922,2922.11.99,2922.11.99
1923,2922.12.01,2922.12.01
1924,2922.12.99,2922.12.99
1925,2922.14.03,2922.14.03
1926,2922.15.01,2922.15.01
1927,2922.16.01,2922.16.01
1928,2922.17.01,2922.17.01
1929,2922.18.01,2922.18.01
1930,2922.19.10,2922.19.10
1931,2922.19.14,2922.19.14
1932,2922.19.20,2922.19.20
1933,2922.19.40,2922.19.40
1934,2922.19.99,2922.19.99
1935,2922.21.03,2922.21.03
1936,2922.29.99,2922.29.99
1937,2922.31.01,2922.31.01
1938,2922.39.09,2922.39.09
1939,2922.39.99,2922.39.99
1940,2922.41.02,2922.41.02
1941,2922.42.01,2922.42.01
1942,2922.42.99,2922.42.99
1943,2922.43.01,2922.43.01
1944,2922.44.01,2922.44.01
1945,2922.49.01,2922.49.01
1946,2922.49.02,2922.49.02
1947,2922.49.03,2922.49.03
1948,2922.49.04,2922.49.04
1949,2922.49.05,2922.49.05
1950,2922.49.06,2922.49.06
1951,2922.49.07,2922.49.07
1952,2922.49.08,2922.49.08
1953,2922.49.09,2922.49.09
1954,2922.49.10,2922.49.10
1955,2922.49.11,2922.49.11
1956,2922.49.12,2922.49.12
1957,2922.49.13,2922.49.13
1958,2922.49.14,2922.49.14
1959,2922.49.15,2922.49.15
1960,2922.49.16,2922.49.16
1961,2922.49.17,2922.49.17
1962,2922.49.18,2922.49.18
1963,2922.49.19,2922.49.19
1964,2922.49.20,2922.49.20
1965,2922.49.21,2922.49.21
1966,2922.49.22,2922.49.22
1967,2922.49.23,2922.49.23
1968,2922.49.99,2922.49.99
1969,2922.50.01,2922.50.01
1970,2922.50.99,2922.50.99
1971,2923.10.01,2923.10.01
1972,2923.10.02,2923.10.02
1973,2923.10.99,2923.10.99
1974,2923.20.01,2923.20.01
1975,2923.30.01,2923.30.01
1976,2923.40.01,2923.40.01
1977,2923.90.02,2923.90.02
1978,2923.90.03,2923.90.03
1979,2923.90.99,2923.90.99
1980,2924.11.01,2924.11.01
1981,2924.12.03,2924.12.03
1982,2924.12.99,2924.12.99
1983,2924.19.01,2924.19.01
1984,2924.19.02,2924.19.02
1985,2924.19.04,2924.19.04
1986,2924.19.05,2924.19.05
1987,2924.19.06,2924.19.06
1988,2924.19.07,2924.19.07
1989,2924.19.08,2924.19.08
1990,2924.19.09,2924.19.09
1991,2924.19.10,2924.19.10
1992,2924.19.11,2924.19.11
1993,2924.19.12,2924.19.12
1994,2924.19.13,2924.19.13
1995,2924.19.91,2924.19.15
1996,2924.19.99,2924.19.99
1997,2924.21.08,2924.21.08
1998,2924.23.01,2924.23.01
1999,2924.24.01,2924.24.01
2000,2924.25.01,2924.25.01
2001,2924.29.09,2924.29.09
2002,2924.29.99,2924.29.99
2003,2925.11.01,2925.11.01
2004,2925.12.01,2925.12.01
2005,2925.19.99,2925.19.99
2006,2925.21.01,2925.21.01
2007,2925.29.99,2925.29.99
2008,2926.10.01,2926.10.01
2009,2926.20.01,2926.20.01
2010,2926.30.01,2926.30.01
2011,2926.40.01,2926.40.01
2012,2926.90.99,2926.90.99
2013,2927.00.06,2927.00.06
2014,2928.00.01,2928.00.01
2015,2928.00.02,2928.00.02
2016,2928.00.03,2928.00.03
2017,2928.00.05,2928.00.05
2018,2928.00.06,2928.00.06
2019,2928.00.07,2928.00.07
2020,2928.00.99,2928.00.99
2021,2929.10.01,2929.10.01
2022,2929.10.02,2929.10.02
2023,2929.10.04,2929.10.04
2024,2929.10.05,2929.10.05
2025,2929.10.06,2929.10.06
2026,2929.10.99,2929.10.99
2027,2929.90.99,2929.90.99
2028,2930.10.01,2930.90.99
2029,2930.20.05,2930.20.05
2030,2930.20.06,2930.20.06
2031,2930.20.07,2930.20.07
2032,2930.20.99,2930.20.99
2033,2930.30.02,2930.30.02
2034,2930.40.01,2930.40.01
2035,2930.60.01,2930.60.01
2036,2930.70.01,2930.70.01
2037,2930.80.01,2930.80.01
2038,2930.80.02,2930.80.02
2039,2930.80.99,2930.80.99
2040,2930.90.11,2930.90.11
2041,2930.90.31,2930.90.31
2042,2930.90.74,2930.90.74
2043,2930.90.99,2930.90.99
2044,2931.10.01,2931.10.01
2045,2931.20.01,2931.20.01
2046,2931.41.01,2931.31.01
2047,2931.42.01,2931.32.01
2048,2931.43.01,2931.33.01
2049,2931.44.01,2931.39.99
2050,2931.45.01,2931.38.01
2051,2931.46.01,2931.35.01
2052,2931.47.01,2931.36.01
2053,2931.48.01,2931.39.99
2054,2931.49.01,2931.39.01
2055,2931.49.99,2931.34.01
2056,2931.49.99,2931.37.01
2057,2931.49.99,2931.39.99
2058,2931.51.01,2931.39.99
2059,2931.52.01,2931.39.99
2060,2931.53.01,2931.39.99
2061,2931.54.01,2931.39.02
2062,2931.59.01,2931.39.03
2063,2931.59.99,2931.39.99
2064,2931.90.03,2931.90.03
2065,2931.90.09,2931.90.09
2066,2931.90.99,2931.90.99
2067,2932.11.01,2932.11.01
2068,2932.12.01,2932.12.01
2069,2932.13.01,2932.13.01
2070,2932.14.01,2932.14.01
2071,2932.19.02,2932.19.02
2072,2932.19.99,2932.19.99
2073,2932.20.11,2932.20.11
2074,2932.91.01,2932.91.01
2075,2932.92.01,2932.92.01
2076,2932.93.01,2932.93.01
2077,2932.94.01,2932.94.01
2078,2932.95.01,2932.95.01
2079,2932.96.01,2932.99.17
2080,2932.99.99,2932.99.99
2081,2933.11.03,2933.11.03
2082,2933.19.04,2933.19.04
2083,2933.19.08,2933.19.08
2084,2933.19.99,2933.19.99
2085,2933.21.01,2933.21.01
2086,2933.29.99,2933.29.99
2087,2933.31.03,2933.31.03
2088,2933.32.01,2933.32.01
2089,2933.32.99,2933.32.99
2090,2933.33.03,2933.33.03
2091,2933.33.03,2933.39.99
2092,2933.34.91,2933.39.99
2093,2933.35.01,2933.39.99
2094,2933.36.01,2933.39.24
2095,2933.37.01,2933.39.24
2096,2933.39.02,2933.39.02
2097,2933.39.06,2933.39.06
2098,2933.39.17,2933.39.17
2099,2933.39.22,2933.39.22
2100,2933.39.91,2933.39.24
2101,2933.39.99,2933.39.99
2102,2933.41.01,2933.41.01
2103,2933.49.01,2933.49.01
2104,2933.49.04,2933.49.04
2105,2933.49.10,2933.49.10
2106,2933.49.99,2933.49.99
2107,2933.52.01,2933.52.01
2108,2933.53.01,2933.53.01
2109,2933.54.91,2933.54.01
2110,2933.55.03,2933.55.03
2111,2933.59.07,2933.59.07
2112,2933.59.99,2933.59.99
2113,2933.61.01,2933.61.01
2114,2933.69.12,2933.69.12
2115,2933.69.15,2933.69.15
2116,2933.69.99,2933.69.99
2117,2933.71.01,2933.71.01
2118,2933.72.01,2933.72.01
2119,2933.79.91,2933.79.05
2120,2933.91.03,2933.91.03
2121,2933.92.01,2933.92.01
2122,2933.99.04,2933.99.04
2123,2933.99.10,2933.99.10
2124,2933.99.26,2933.99.26
2125,2933.99.99,2933.99.99
2126,2934.10.09,2934.10.09
2127,2934.20.05,2934.20.05
2128,2934.20.99,2934.20.99
2129,2934.30.02,2934.30.02
2130,2934.91.01,2934.91.01
2131,2934.92.91,2934.99.99
2132,2934.99.01,2934.99.01
2133,2934.99.10,2934.99.10
2134,2934.99.14,2934.99.14
2135,2934.99.24,2934.99.24
2136,2934.99.41,2934.99.41
2137,2934.99.99,2934.99.99
2138,2935.10.01,2935.10.01
2139,2935.20.01,2935.20.01
2140,2935.30.01,2935.30.01
2141,2935.40.01,2935.40.01
2142,2935.50.91,2935.50.01
2143,2935.90.03,2935.90.03
2144,2935.90.07,2935.90.07
2145,2935.90.20,2935.90.20
2146,2935.90.31,2935.90.31
2147,2935.90.99,2935.90.99
2148,2936.21.04,2936.21.04
2149,2936.22.04,2936.22.04
2150,2936.23.03,2936.23.03
2151,2936.24.03,2936.24.03
2152,2936.25.02,2936.25.02
2153,2936.26.01,2936.26.01
2154,2936.26.99,2936.26.99
2155,2936.27.02,2936.27.02
2156,2936.28.03,2936.28.03
2157,2936.29.03,2936.29.03
2158,2936.29.04,2936.29.04
2159,2936.29.99,2936.29.99
2160,2936.90.91,2936.90.99
2161,2937.11.01,2937.11.01
2162,2937.12.02,2937.12.02
2163,2937.19.99,2937.19.99
2164,2937.21.05,2937.21.05
2165,2937.22.11,2937.22.11
2166,2937.22.99,2937.22.99
2167,2937.23.04,2937.23.04
2168,2937.23.05,2937.23.05
2169,2937.23.07,2937.23.07
2170,2937.23.08,2937.23.08
2171,2937.23.10,2937.23.10
2172,2937.23.11,2937.23.11
2173,2937.23.17,2937.23.17
2174,2937.23.18,2937.23.18
2175,2937.23.21,2937.23.21
2176,2937.23.22,2937.23.22
2177,2937.23.99,2937.23.99
2178,2937.29.09,2937.29.09
2179,2937.29.17,2937.29.17
2180,2937.29.19,2937.29.19
2181,2937.29.24,2937.29.24
2182,2937.29.29,2937.29.29
2183,2937.29.32,2937.29.32
2184,2937.29.33,2937.29.33
2185,2937.29.36,2937.29.36
2186,2937.29.99,2937.29.99
2187,2937.50.02,2937.50.02
2188,2937.90.99,2937.90.99
2189,2938.10.01,2938.10.01
2190,2938.90.99,2938.90.99
2191,2939.11.01,2939.11.01
2192,2939.11.99,2939.11.99
2193,2939.19.99,2939.19.99
2194,2939.20.02,2939.20.02
2195,2939.30.04,2939.30.04
2196,2939.41.01,2939.41.01
2197,2939.42.01,2939.42.01
2198,2939.43.01,2939.43.01
2199,2939.44.01,2939.44.01
2200,2939.44.99,2939.44.99
2201,2939.45.01,2939.71.02
2202,2939.49.99,2939.49.99
2203,2939.49.99,2939.71.02
2204,2939.49.99,2939.79.99
2205,2939.51.01,2939.51.01
2206,2939.59.99,2939.59.99
2207,2939.61.01,2939.61.01
2208,2939.62.01,2939.62.01
2209,2939.63.01,2939.63.01
2210,2939.69.99,2939.69.99
2211,2939.72.01,2939.71.02
2212,2939.79.99,2939.79.99
2213,2939.80.99,2939.80.99
2214,2940.00.05,2940.00.05
2215,2941.10.03,2941.10.03
2216,2941.10.07,2941.10.07
2217,2941.10.08,2941.10.08
2218,2941.10.12,2941.10.12
2219,2941.10.99,2941.10.99
2220,2941.20.01,2941.20.01
2221,2941.30.04,2941.30.04
2222,2941.40.04,2941.40.04
2223,2941.50.02,2941.50.02
2224,2941.90.17,2941.90.17
2225,2941.90.99,2941.90.99
2226,2942.00.91,2942.00.99
2227,3001.20.03,3001.20.03
2228,3001.20.04,3001.20.04
2229,3001.20.05,3001.20.05
2230,3001.20.06,3001.20.06
2231,3001.20.99,3001.20.99
2232,3001.90.01,3001.90.01
2233,3001.90.03,3001.90.03
2234,3001.90.04,3001.90.04
2235,3001.90.05,3001.90.05
2236,3001.90.06,3001.90.06
2237,3001.90.08,3001.90.08
2238,3001.90.99,3001.90.99
2239,3002.12.01,3002.12.01
2240,3002.12.04,3002.12.04
2241,3002.12.07,3002.12.07
2242,3002.12.08,3002.12.08
2243,3002.12.09,3002.12.09
2244,3002.12.99,3002.12.99
2245,3002.12.99,3002.19.99
2246,3002.13.01,3002.13.01
2247,3002.13.05,3002.13.05
2248,3002.13.99,3002.13.99
2249,3002.13.99,3002.19.99
2250,3002.14.02,3002.14.99
2251,3002.14.02,3002.19.99
2252,3002.15.02,3002.15.02
2253,3002.15.03,3002.15.03
2254,3002.15.99,3002.15.99
2255,3002.15.99,3002.19.99
2256,3002.41.01,3002.20.02
2257,3002.41.02,3002.20.06
2258,3002.41.03,3002.20.07
2259,3002.41.04,3002.20.08
2260,3002.41.05,3002.20.09
2261,3002.41.06,3002.20.10
2262,3002.41.99,3002.20.99
2263,3002.42.01,3002.30.03
2264,3002.49.01,3002.90.01
2265,3002.49.99,3002.90.99
2266,3002.51.01,3002.90.99
2267,3002.59.99,3002.90.99
2268,3002.90.99,3002.90.99
2269,3003.10.01,3003.10.01
2270,3003.20.01,3003.20.01
2271,3003.20.99,3003.20.99
2272,3003.31.02,3003.31.02
2273,3003.39.01,3003.39.01
2274,3003.39.99,3003.39.99
2275,3003.41.01,3003.41.01
2276,3003.42.01,3003.42.01
2277,3003.43.01,3003.43.01
2278,3003.49.01,3003.49.01
2279,3003.49.02,3003.49.02
2280,3003.49.03,3003.49.03
2281,3003.49.99,3003.49.99
2282,3003.60.91,3003.60.01
2283,3003.90.01,3003.90.01
2284,3003.90.02,3003.90.02
2285,3003.90.03,3003.90.03
2286,3003.90.04,3003.90.04
2287,3003.90.08,3003.90.08
2288,3003.90.09,3003.90.09
2289,3003.90.10,3003.90.10
2290,3003.90.11,3003.90.11
2291,3003.90.12,3003.90.12
2292,3003.90.13,3003.90.13
2293,3003.90.14,3003.90.14
2294,3003.90.15,3003.90.15
2295,3003.90.16,3003.90.16
2296,3003.90.17,3003.90.17
2297,3003.90.18,3003.90.18
2298,3003.90.19,3003.90.19
2299,3003.90.20,3003.90.20
2300,3003.90.21,3003.90.21
2301,3003.90.22,3003.90.22
2302,3003.90.99,3003.90.99
2303,3004.10.01,3004.10.01
2304,3004.10.99,3004.10.99
2305,3004.20.01,3004.20.01
2306,3004.20.02,3004.20.02
2307,3004.20.03,3004.20.03
2308,3004.20.99,3004.20.99
2309,3004.31.02,3004.31.02
2310,3004.32.01,3004.32.01
2311,3004.32.99,3004.32.99
2312,3004.39.01,3004.39.01
2313,3004.39.02,3004.39.02
2314,3004.39.03,3004.39.03
2315,3004.39.04,3004.39.04
2316,3004.39.05,3004.39.05
2317,3004.39.99,3004.39.99
2318,3004.41.01,3004.41.01
2319,3004.42.01,3004.42.01
2320,3004.43.01,3004.43.01
2321,3004.49.01,3004.49.01
2322,3004.49.02,3004.49.02
2323,3004.49.03,3004.49.03
2324,3004.49.05,3004.49.05
2325,3004.49.99,3004.49.99
2326,3004.50.01,3004.50.01
2327,3004.50.02,3004.50.02
2328,3004.50.99,3004.50.99
2329,3004.60.91,3004.60.99
2330,3004.90.01,3004.90.01
2331,3004.90.02,3004.90.02
2332,3004.90.04,3004.90.04
2333,3004.90.05,3004.90.05
2334,3004.90.06,3004.90.06
2335,3004.90.07,3004.90.07
2336,3004.90.08,3004.90.08
2337,3004.90.09,3004.90.09
2338,3004.90.11,3004.90.11
2339,3004.90.12,3004.90.12
2340,3004.90.13,3004.90.13
2341,3004.90.14,3004.90.14
2342,3004.90.15,3004.90.15
2343,3004.90.16,3004.90.16
2344,3004.90.17,3004.90.17
2345,3004.90.18,3004.90.18
2346,3004.90.19,3004.90.19
2347,3004.90.20,3004.90.20
2348,3004.90.21,3004.90.21
2349,3004.90.22,3004.90.22
2350,3004.90.23,3004.90.23
2351,3004.90.24,3004.90.24
2352,3004.90.25,3004.90.25
2353,3004.90.26,3004.90.26
2354,3004.90.27,3004.90.27
2355,3004.90.28,3004.90.28
2356,3004.90.29,3004.90.29
2357,3004.90.30,3004.90.30
2358,3004.90.31,3004.90.31
2359,3004.90.32,3004.90.32
2360,3004.90.34,3004.90.34
2361,3004.90.35,3004.90.35
2362,3004.90.36,3004.90.36
2363,3004.90.37,3004.90.37
2364,3004.90.38,3004.90.38
2365,3004.90.39,3004.90.39
2366,3004.90.40,3004.90.40
2367,3004.90.41,3004.90.41
2368,3004.90.43,3004.90.43
2369,3004.90.44,3004.90.44
2370,3004.90.45,3004.90.45
2371,3004.90.46,3004.90.46
2372,3004.90.47,3004.90.47
2373,3004.90.48,3004.90.48
2374,3004.90.49,3004.90.49
2375,3004.90.50,3004.90.50
2376,3004.90.52,3004.90.52
2377,3004.90.99,3004.90.99
2378,3005.10.01,3005.10.01
2379,3005.10.02,3005.10.02
2380,3005.10.99,3005.10.99
2381,3005.90.01,3005.90.01
2382,3005.90.03,3005.90.03
2383,3005.90.99,3005.90.99
2384,3006.10.03,3006.10.03
2385,3006.10.99,3006.10.99
2386,3006.30.01,3006.30.01
2387,3006.30.02,3006.30.02
2388,3006.30.99,3006.30.99
2389,3006.40.02,3006.40.02
2390,3006.40.03,3006.40.03
2391,3006.40.99,3006.40.99
2392,3006.50.01,3006.50.01
2393,3006.60.01,3006.60.01
2394,3006.70.01,3006.70.01
2395,3006.91.01,3006.91.01
2396,3006.92.01,3006.92.01
2397,3006.93.01,1704.90.99
2398,3006.93.02,2106.90.99
2399,3006.93.03,2202.99.99
2400,3006.93.04,3004.90.99
2401,3006.93.99,3824.99.99
2402,3101.00.01,3101.00.01
2403,3102.10.01,3102.10.01
2404,3102.21.01,3102.21.01
2405,3102.29.99,3102.29.99
2406,3102.30.02,3102.30.02
2407,3102.40.01,3102.40.01
2408,3102.50.01,3102.50.01
2409,3102.60.01,3102.60.01
2410,3102.80.01,3102.80.01
2411,3102.90.91,3102.90.02
2412,3103.11.01,3103.11.01
2413,3103.19.99,3103.19.99
2414,3103.90.99,3103.90.99
2415,3104.20.01,3104.20.01
2416,3104.30.02,3104.30.02
2417,3104.90.99,3104.90.99
2418,3105.10.01,3105.10.01
2419,3105.20.01,3105.20.01
2420,3105.30.01,3105.30.01
2421,3105.40.01,3105.40.01
2422,3105.51.01,3105.51.01
2423,3105.59.99,3105.59.99
2424,3105.60.01,3105.60.01
2425,3105.90.99,3105.90.99
2426,3201.10.01,3201.10.01
2427,3201.20.01,3201.20.01
2428,3201.90.99,3201.90.99
2429,3202.10.01,3202.10.01
2430,3202.90.99,3202.90.99
2431,3203.00.03,3203.00.03
2432,3204.11.01,3204.11.01
2433,3204.11.99,3204.11.99
2434,3204.12.07,3204.12.07
2435,3204.13.05,3204.13.05
2436,3204.14.05,3204.14.05
2437,3204.15.02,3204.15.02
2438,3204.16.05,3204.16.05
2439,3204.17.01,3204.17.01
2440,3204.17.02,3204.17.02
2441,3204.17.03,3204.17.03
2442,3204.17.04,3204.17.04
2443,3204.17.05,3204.17.05
2444,3204.17.06,3204.17.06
2445,3204.17.07,3204.17.07
2446,3204.17.08,3204.17.08
2447,3204.17.10,3204.17.10
2448,3204.17.99,3204.17.99
2449,3204.18.01,3204.19.99
2450,3204.19.04,3204.19.04
2451,3204.19.06,3204.19.06
2452,3204.19.99,3204.19.99
2453,3204.20.01,3204.20.01
2454,3204.20.02,3204.20.02
2455,3204.20.99,3204.20.99
2456,3204.90.99,3204.90.99
2457,3205.00.02,3205.00.02
2458,3205.00.99,3205.00.99
2459,3206.11.01,3206.11.01
2460,3206.19.99,3206.19.99
2461,3206.20.01,3206.20.01
2462,3206.20.02,3206.20.02
2463,3206.20.03,3206.20.03
2464,3206.41.02,3206.41.02
2465,3206.42.02,3206.42.02
2466,3206.49.01,3206.49.01
2467,3206.49.02,3206.49.02
2468,3206.49.03,3206.49.03
2469,3206.49.04,3206.49.04
2470,3206.49.05,3206.49.05
2471,3206.49.07,3206.49.07
2472,3206.49.08,3206.49.08
2473,3206.49.99,3206.49.99
2474,3206.50.01,3206.50.01
2475,3206.50.99,3206.50.99
2476,3207.10.02,3207.10.02
2477,3207.20.01,3207.20.01
2478,3207.20.99,3207.20.99
2479,3207.30.01,3207.30.01
2480,3207.40.03,3207.40.03
2481,3208.10.02,3208.10.02
2482,3208.20.03,3208.20.03
2483,3208.90.99,3208.90.99
2484,3209.10.02,3209.10.02
2485,3209.90.99,3209.90.99
2486,3210.00.91,3210.00.04
2487,3211.00.02,3211.00.02
2488,3212.10.01,3212.10.01
2489,3212.90.99,3212.90.99
2490,3213.10.01,3213.10.01
2491,3213.90.99,3213.90.99
2492,3214.10.01,3214.10.01
2493,3214.10.02,3214.10.02
2494,3214.90.99,3214.90.99
2495,3215.11.03,3215.11.03
2496,3215.19.02,3215.19.02
2497,3215.19.99,3215.19.99
2498,3215.90.02,3215.90.02
2499,3215.90.03,3215.90.03
2500,3215.90.99,3215.90.99
2501,3301.12.01,3301.12.01
2502,3301.13.02,3301.13.02
2503,3301.19.07,3301.19.07
2504,3301.19.99,3301.19.99
2505,3301.24.01,3301.24.01
2506,3301.25.91,3301.25.99
2507,3301.29.99,3301.29.99
2508,3301.30.01,3301.30.01
2509,3301.90.01,3301.90.01
2510,3301.90.04,3301.90.04
2511,3301.90.05,3301.90.05
2512,3301.90.06,3301.90.06
2513,3301.90.07,3301.90.07
2514,3301.90.99,3301.90.99
2515,3302.10.01,3302.10.01
2516,3302.10.91,3302.10.02
2517,3302.10.99,3302.10.99
2518,3302.90.99,3302.90.99
2519,3303.00.01,3303.00.01
2520,3303.00.99,3303.00.99
2521,3304.10.01,3304.10.01
2522,3304.20.01,3304.20.01
2523,3304.30.01,3304.30.01
2524,3304.91.01,3304.91.01
2525,3304.99.01,3304.99.01
2526,3304.99.99,3304.99.99
2527,3305.10.01,3305.10.01
2528,3305.20.01,3305.20.01
2529,3305.30.01,3305.30.01
2530,3305.90.99,3305.90.99
2531,3306.10.01,3306.10.01
2532,3306.20.02,3306.20.02
2533,3306.90.99,3306.90.99
2534,3307.10.01,3307.10.01
2535,3307.20.01,3307.20.01
2536,3307.30.01,3307.30.01
2537,3307.41.01,3307.41.01
2538,3307.49.99,3307.49.99
2539,3307.90.99,3307.90.99
2540,3401.11.01,3401.11.01
2541,3401.19.99,3401.19.99
2542,3401.20.01,3401.20.01
2543,3401.30.01,3401.30.01
2544,3402.31.01,3402.11.99
2545,3402.39.01,3402.11.02
2546,3402.39.99,3402.11.99
2547,3402.41.01,3402.12.03
2548,3402.41.99,3402.12.99
2549,3402.42.01,3402.13.01
2550,3402.42.02,3402.13.02
2551,3402.42.03,3402.13.03
2552,3402.42.99,3402.13.99
2553,3402.49.99,3402.19.99
2554,3402.50.01,3402.20.01
2555,3402.50.02,3402.20.02
2556,3402.50.03,3402.20.03
2557,3402.50.04,3402.20.04
2558,3402.50.05,3402.20.05
2559,3402.50.99,3402.20.99
2560,3402.90.01,3402.90.01
2561,3402.90.02,3402.90.02
2562,3402.90.99,3402.90.99
2563,3403.11.01,3403.11.01
2564,3403.19.01,3403.19.01
2565,3403.19.99,3403.19.99
2566,3403.91.01,3403.91.01
2567,3403.99.99,3403.99.99
2568,3404.20.01,3404.20.01
2569,3404.90.01,3404.90.01
2570,3404.90.02,3404.90.02
2571,3404.90.99,3404.90.99
2572,3405.10.01,3405.10.01
2573,3405.20.02,3405.20.02
2574,3405.30.01,3405.30.01
2575,3405.40.01,3405.40.01
2576,3405.90.01,3405.90.01
2577,3405.90.99,3405.90.99
2578,3406.00.01,3406.00.01
2579,3407.00.03,3407.00.03
2580,3407.00.04,3407.00.04
2581,3407.00.05,3407.00.05
2582,3407.00.99,3407.00.99
2583,3501.10.01,3501.10.01
2584,3501.90.01,3501.90.01
2585,3501.90.03,3501.90.03
2586,3501.90.99,3501.90.99
2587,3502.11.01,3502.11.01
2588,3502.19.99,3502.19.99
2589,3502.20.01,3502.20.01
2590,3502.90.99,3502.90.99
2591,3503.00.01,3503.00.01
2592,3503.00.99,3503.00.99
2593,3504.00.07,3504.00.07
2594,3505.10.01,3505.10.01
2595,3505.20.01,3505.20.01
2596,3506.10.02,3506.10.02
2597,3506.10.99,3506.10.99
2598,3506.91.01,3506.91.01
2599,3506.91.02,3506.99.01
2600,3506.91.99,3506.91.99
2601,3506.99.99,3506.99.99
2602,3507.10.01,3507.10.01
2603,3507.90.02,3507.90.02
2604,3507.90.06,3507.90.06
2605,3507.90.08,3507.90.08
2606,3507.90.09,3507.90.09
2607,3507.90.99,3507.90.99
2608,3601.00.01,3601.00.01
2609,3601.00.99,3601.00.99
2610,3602.00.02,3602.00.02
2611,3602.00.03,3602.00.03
2612,3602.00.99,3602.00.99
2613,3603.10.01,3603.00.01
2614,3603.10.99,3603.00.99
2615,3603.20.01,3603.00.02
2616,3603.30.01,3603.00.99
2617,3603.40.01,3603.00.99
2618,3603.50.01,3603.00.99
2619,3603.60.01,3603.00.99
2620,3604.10.01,3604.10.01
2621,3604.90.99,3604.90.01
2622,3605.00.01,3605.00.01
2623,3606.10.01,3606.10.01
2624,3606.90.01,3606.90.01
2625,3606.90.02,3606.90.02
2626,3606.90.99,3606.90.99
2627,3701.10.02,3701.10.02
2628,3701.10.99,3701.10.99
2629,3701.20.01,3701.20.01
2630,3701.30.91,3701.30.01
2631,3701.91.01,3701.91.01
2632,3701.99.01,3701.99.01
2633,3701.99.04,3701.99.04
2634,3701.99.99,3701.99.99
2635,3702.10.01,3702.10.01
2636,3702.10.99,3702.10.99
2637,3702.31.02,3702.31.02
2638,3702.32.01,3702.32.01
2639,3702.32.99,3702.32.99
2640,3702.39.99,3702.39.99
2641,3702.41.01,3702.41.01
2642,3702.41.99,3702.41.99
2643,3702.42.01,3702.42.01
2644,3702.42.02,3702.42.02
2645,3702.42.99,3702.42.99
2646,3702.43.01,3702.43.01
2647,3702.44.01,3702.44.01
2648,3702.44.99,3702.44.99
2649,3702.52.01,3702.52.01
2650,3702.53.01,3702.53.01
