,a,b
0,,
1,,
2,"TABLAS DE CORRELACIÓN 
TIGIE FRACCIONES ARANCELARIAS",
3,TIGIE 2022 (SA 2022),TIGIE 2020 (SA 2017)
198,0303.33.01,0303.33.01
199,0303.34.01,0303.34.01
200,0303.39.99,0303.39.99
201,0303.41.01,0303.41.01
202,0303.42.01,0303.42.01
203,0303.43.01,0303.43.01
204,0303.44.01,0303.44.01
205,0303.45.01,0303.45.01
206,0303.46.01,0303.46.01
207,0303.49.99,0303.49.99
208,0303.51.01,0303.51.01
209,0303.53.01,0303.53.01
210,0303.54.01,0303.54.01
211,0303.55.01,0303.55.01
212,0303.56.01,0303.56.01
213,0303.57.01,0303.57.01
214,0303.59.99,0303.59.99
215,0303.63.01,0303.63.01
216,0303.64.01,0303.64.01
217,0303.65.01,0303.65.01
218,0303.66.01,0303.66.01
219,0303.67.01,0303.67.01
220,0303.68.01,0303.68.01
221,0303.69.99,0303.69.99
222,0303.81.01,0303.81.01
223,0303.82.01,0303.82.01
224,0303.83.01,0303.83.01
225,0303.84.01,0303.84.01
226,0303.89.01,0303.89.01
227,0303.89.99,0303.89.99
228,0303.91.01,0303.91.01
229,0303.92.01,0303.92.01
230,0303.99.01,0303.99.01
231,0303.99.02,0303.99.02
232,0303.99.03,0303.99.03
233,0303.99.99,0303.99.99
234,0304.31.01,0304.31.01
235,0304.32.01,0304.32.01
236,0304.33.01,0304.33.01
237,0304.39.99,0304.39.99
238,0304.41.01,0304.41.01
239,0304.42.01,0304.42.01
240,0304.43.01,0304.43.01
241,0304.44.01,0304.44.01
242,0304.45.01,0304.45.01
243,0304.46.01,0304.46.01
244,0304.47.01,0304.47.01
245,0304.48.01,0304.48.01
246,0304.49.99,0304.49.99
247,0304.51.01,0304.51.01
248,0304.52.01,0304.52.01
249,0304.53.01,0304.53.01
250,0304.54.01,0304.54.01
251,0304.55.01,0304.55.01
252,0304.56.01,0304.56.01
253,0304.57.01,0304.57.01
254,0304.59.99,0304.59.99
255,0304.61.01,0304.61.01
256,0304.62.01,0304.62.01
257,0304.63.01,0304.63.01
258,0304.69.99,0304.69.99
259,0304.71.01,0304.71.01
260,0304.72.01,0304.72.01
261,0304.73.01,0304.73.01
262,0304.74.01,0304.74.01
263,0304.75.01,0304.75.01
264,0304.79.99,0304.79.99
265,0304.81.01,0304.81.01
266,0304.82.01,0304.82.01
267,0304.83.01,0304.83.01
268,0304.84.01,0304.84.01
269,0304.85.01,0304.85.01
270,0304.86.01,0304.86.01
271,0304.87.01,0304.87.01
272,0304.88.01,0304.88.01
273,0304.89.99,0304.89.99
274,0304.91.01,0304.91.01
